epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7945,2.58333,4.96675,1.7354,0.00406,0.45868,0.00449,0.00234,1.64926,3.7238,1.25217,0.000466993,0.000466993,0.000466993
2,20.5608,1.4528,2.295,1.14791,1,0.12747,0.51513,0.31036,1.38457,2.67394,1.22187,0.000933988,0.000933988,0.000933988
3,28.2879,1.19947,1.61491,1.02875,0.76913,0.54885,0.57199,0.38622,1.08032,1.61584,0.99248,0.00139155,0.00139155,0.00139155
4,36.94,1.02455,1.30229,0.94905,0.79374,0.61637,0.62199,0.4365,0.85188,0.88216,0.89418,0.00138656,0.00138656,0.00138656
5,45.5084,0.96275,1.13413,0.92339,0.84932,0.64987,0.66649,0.45187,0.78413,0.84143,0.86111,0.00137241,0.00137241,0.00137241
6,53.2338,0.89334,1.03282,0.91439,0.87613,0.66681,0.69971,0.47616,0.70781,0.83145,0.84528,0.00135826,0.00135826,0.00135826
7,61.9646,0.85363,0.90578,0.89554,0.84132,0.69024,0.70468,0.49081,0.63918,0.60532,0.82056,0.00134412,0.00134412,0.00134412
8,70.0411,0.82697,0.82148,0.90553,0.87269,0.67579,0.69707,0.48513,0.65763,0.66677,0.8221,0.00132997,0.00132997,0.00132997
9,77.9877,0.79747,0.77531,0.89238,0.89119,0.69156,0.73335,0.49793,0.6345,0.60147,0.81562,0.00131582,0.00131582,0.00131582
10,86.6033,0.76657,0.70752,0.87008,0.85767,0.68902,0.70746,0.48178,0.65341,0.56905,0.82029,0.00130168,0.00130168,0.00130168
11,94.3098,0.74603,0.68945,0.87155,0.8641,0.70612,0.71781,0.50009,0.7067,0.60853,0.83951,0.00128753,0.00128753,0.00128753
12,102.743,0.76874,0.66721,0.8656,0.85332,0.70184,0.71014,0.49073,0.66481,0.55662,0.82758,0.00127338,0.00127338,0.00127338
13,111.285,0.71571,0.61085,0.85185,0.92117,0.71466,0.76954,0.52563,0.64789,0.52398,0.82531,0.00125923,0.00125923,0.00125923
14,118.878,0.72425,0.58192,0.8622,0.86364,0.7554,0.78541,0.53753,0.61959,0.513,0.80955,0.00124509,0.00124509,0.00124509
15,127.523,0.71233,0.5707,0.85615,0.88251,0.74458,0.786,0.5139,0.58761,0.49848,0.80432,0.00123094,0.00123094,0.00123094
16,136.178,0.70551,0.54814,0.86716,0.83043,0.73144,0.75466,0.52872,0.56135,0.48252,0.80091,0.00121679,0.00121679,0.00121679
17,143.724,0.69676,0.53719,0.85663,0.89737,0.73176,0.79199,0.54719,0.58442,0.49019,0.80447,0.00120265,0.00120265,0.00120265
18,152.29,0.66811,0.51001,0.85339,0.92445,0.73603,0.76986,0.5185,0.59098,0.48192,0.80118,0.0011885,0.0011885,0.0011885
19,160.192,0.65814,0.47265,0.85085,0.86621,0.73603,0.76378,0.52193,0.57505,0.43948,0.79753,0.00117435,0.00117435,0.00117435
20,168.223,0.63978,0.47474,0.84909,0.87963,0.75138,0.78803,0.5437,0.5577,0.47534,0.78839,0.00116021,0.00116021,0.00116021
21,176.776,0.64379,0.47403,0.84447,0.87884,0.73176,0.77227,0.56331,0.54743,0.45824,0.79172,0.00114606,0.00114606,0.00114606
22,184.271,0.63623,0.46891,0.84453,0.87765,0.74476,0.795,0.5541,0.55375,0.45667,0.79175,0.00113191,0.00113191,0.00113191
23,192.871,0.60038,0.43967,0.84021,0.91528,0.74458,0.78924,0.55709,0.53244,0.44821,0.78778,0.00111776,0.00111776,0.00111776
24,201.506,0.62728,0.45216,0.83422,0.9146,0.74458,0.78466,0.51729,0.54191,0.46909,0.78906,0.00110362,0.00110362,0.00110362
25,208.876,0.61572,0.44623,0.83568,0.90241,0.78685,0.82884,0.58621,0.51454,0.43476,0.78317,0.00108947,0.00108947,0.00108947
26,217.477,0.61762,0.43436,0.83567,0.92128,0.79159,0.83677,0.57606,0.52483,0.43308,0.78252,0.00107532,0.00107532,0.00107532
27,225.896,0.62767,0.42643,0.84402,0.87341,0.78821,0.8206,0.5785,0.53419,0.43214,0.79054,0.00106118,0.00106118,0.00106118
28,233.541,0.60884,0.42091,0.83058,0.89303,0.78361,0.83316,0.58201,0.55812,0.45707,0.79639,0.00104703,0.00104703,0.00104703
29,242.136,0.58371,0.4161,0.82708,0.87679,0.77022,0.81234,0.56932,0.57026,0.43245,0.79759,0.00103288,0.00103288,0.00103288
30,250.001,0.60359,0.41341,0.83311,0.84258,0.78194,0.79341,0.56809,0.53989,0.43351,0.7883,0.00101873,0.00101873,0.00101873
31,258.017,0.60158,0.42062,0.83655,0.88693,0.79304,0.83357,0.58347,0.52849,0.44116,0.78071,0.00100459,0.00100459,0.00100459
32,266.679,0.57107,0.40281,0.82789,0.91029,0.77674,0.83142,0.59683,0.53416,0.43675,0.78353,0.00099044,0.00099044,0.00099044
33,274.219,0.57776,0.40624,0.82791,0.90959,0.78304,0.82489,0.59121,0.51694,0.42662,0.77903,0.000976293,0.000976293,0.000976293
34,282.912,0.58622,0.39492,0.82785,0.9502,0.79159,0.83643,0.58816,0.5017,0.43236,0.77895,0.000962146,0.000962146,0.000962146
35,291.541,0.58836,0.39309,0.83534,0.88835,0.78091,0.83095,0.59896,0.57501,0.44608,0.79382,0.000947999,0.000947999,0.000947999
